300	468	15528	-347	207	-104
200	388	15460	-362	214	-86
52	372	15408	-329	219	-25
128	416	15444	-348	230	-41
152	440	15288	-364	240	-67
112	448	15480	-367	219	-67
128	428	15580	-389	240	-88
164	408	15500	-391	208	-57
240	368	15536	-399	211	-65
168	412	15452	-380	195	-75
292	320	15548	-382	201	-54
60	348	15416	-373	188	-60
168	324	15360	-399	185	-67
152	404	15616	-372	174	-87
136	484	15580	-371	183	-85
156	364	15452	-361	197	-77
252	348	15528	-381	180	-86
132	328	15444	-371	176	-65
144	396	15432	-377	190	-78
116	360	15548	-383	175	-58
236	484	15528	-363	185	-81
276	360	15608	-364	187	-74
196	384	15404	-376	205	-62
204	352	15424	-347	179	-71
204	500	15488	-354	199	-83
212	356	15356	-340	173	-72
144	400	15532	-366	171	-80
240	408	15624	-341	173	-90
160	392	15516	-354	143	-65
148	440	15592	-353	163	-45
252	464	15404	-349	139	-92
160	504	15500	-354	127	-74
192	240	15456	-364	142	-35
164	428	15380	-376	123	-90
244	480	15688	-371	115	-60
280	396	15540	-404	119	-86
108	356	15472	-376	131	-50
148	360	15504	-406	116	-28
216	424	15436	-389	123	-61
180	316	15452	-372	155	-67
88	388	15644	-383	125	-81
224	428	15592	-373	143	-76
244	292	15560	-379	149	-51
184	348	15600	-399	178	-81
296	376	15400	-366	203	-77
272	420	15572	-383	200	-64
184	416	15616	-357	204	-58
176	372	15544	-357	188	-74
240	324	15432	-331	207	-73
124	364	15584	-353	199	-67
152	416	15364	-350	207	-72
348	308	15408	-376	194	-59
136	360	15448	-358	193	-61
20	380	15464	-369	187	-73
224	432	15488	-377	198	-75
296	456	15548	-373	174	-65
176	336	15576	-376	179	-63
224	352	15412	-380	174	-67
144	464	15580	-405	185	-48
172	356	15476	-363	193	-58
164	376	15380	-403	178	-65
64	404	15444	-380	184	-83
140	476	15456	-391	176	-54
208	480	15408	-361	155	-78
216	372	15564	-400	174	-73
128	344	15512	-392	140	-74
92	408	15480	-406	173	-57
180	368	15424	-375	179	-57
180	376	15496	-407	170	-85
152	408	15520	-375	179	-44
172	352	15580	-360	178	-70
120	368	15504	-349	144	-79
112	352	15528	-376	150	-79
144	336	15552	-346	150	-64
176	324	15412	-366	120	-72
96	376	15400	-339	126	-81
88	388	15532	-370	125	-58
236	412	15596	-337	108	-68
76	368	15560	-358	112	-76
140	436	15636	-402	116	-62
172	404	15532	-384	125	-75
44	388	15540	-374	124	-61
144	280	15452	-388	119	-79
180	400	15440	-393	131	-52
200	420	15488	-387	131	-54
88	256	15492	-381	127	-75
152	360	15452	-392	143	-91
48	416	15644	-373	156	-74
108	292	15496	-384	167	-66
116	320	15544	-384	173	-70
160	340	15476	-404	164	-72
216	356	15460	-358	205	-93
148	356	15436	-388	211	-69
132	340	15528	-355	198	-79
96	304	15352	-362	225	-86
64	408	15492	-369	209	-74
116	356	15312	-351	219	-81
64	336	15540	-372	224	-63
